user_name,points,anomaly_flag
s511934991692314ea949fe2cec0e0582,40,True
saecaeeb1daec300192c2f62a78eb65a8,40,True
s8ca13c0d3897366d9fc2aec0bb2e4def,40,True
seeae00df176f321f85ddbe68053c6d73,40,True
s4ad2ae7735813f1195c6e85a9c67e579,40,True
s14c044ca238b336da12c3ce03fcae840,40,True
s8fa57dcb4ff73041940aef5236033d1f,40,True
s75d32b668340365abb060c60d2b5abc2,40,True
sd117e20ba85a38e19a62d6095d780fb2,40,True
s29be85e8dc893b6ab44cd93b2f6fb115,40,True
sf9458d729f603bb59adceda380016602,40,True
sf9263700b265380db67b683af9e47b7e,40,True
s2ce1dfd6563230c0bf71e117fac68a09,40,True
s55ad5c4f1f973bda97514f0250e126c8,40,True
se886ed12233c32988c4c9b0ca72c2780,40,True
s9cf8e91a4c2b3b2292bf35f4a4c168e6,40,True
s8ff9e395c42b34bea3b0d8e96a49bca8,40,True
s972181fc877231d78b429b5990cf18d1,40,True
s10ea37b15a0538e1a4926970950e232d,40,True
s51e3652924df37a19c41e93f6270bc0c,40,True
s69e7072abeaa389a89473fb460a22d5f,40,True
s91b7ddead679305e9fe847bcd5ca03a8,40,True
s3475a8d62fc53a7d8dbf506b34e965bb,40,True
s10860be9353333daa39068dc7348f804,40,True
s6551d447bb1536828813aa5b8377c7e5,40,True
s7fd7f0837a8f381991ed449b9e6530a3,40,True
sf412363d38213e1fbc24665d7bf429ed,40,True
sced54bd85d373a39919db6ea4a1201c3,40,True
s6497783daadd3c9d99c05361a4a79691,40,True
sfd70a1359e113ccb8ba75536dbc51ca3,40,True
s5304f9caddcf3413ac4949ec4a9c8deb,40,True
s18bef8989f8b3b1b924c2d03474542f0,40,True
s579656e06ef533b9a4c1bd5145deee3f,40,True
sfeea8654ef1631478b7477d9c387d5d5,40,True
s615e9508f3593946a7fc411eb33380eb,40,True
s71178d27d4cc325388566b3b2778c59e,40,True
s0c45d64853e535bcb7395a5ca5bab602,40,True
s32e16ded427a3739b14c14de555db3b8,40,True
se4673878da2d30a9ab7c75426fcea8ca,40,True
s27177c5572a13907a9fc884d61390dcd,40,True
s6e1d728b07ee370cb888bf0baaeb3259,40,True
sd28734f3edf93cc288c275c701765dc1,40,True
s09502b1e2122398faeacd20e7044fe58,40,True
s2fe5fbe4d52739f993e2cdb9b78cf4b8,40,True
s4f0924cfe9013f45a15159d1981840c9,40,True
s2a4be017175530f898695d8abd210b99,40,True
s52516b1bf3563b13b391fbf007d8206a,40,True
s3a8f8ba150f33dca8e73875deca59e57,40,True
sc896b590b50c3f34b6559ef73fc2c58f,40,True
s14fcffca7a213cb78ac0b42356991058,40,True
s1fa12719f5bc353a915476d8086da88d,40,True
sce02ada721ea3b329fb94a0dcf487eb9,40,True
s497041de50b13876a44b5f7b59d710c3,40,True
sc69e496b798038d1b6d905731c345ef7,40,True
s6816f7f0af5534398d29d2018c82edae,40,True
s8da458915fb33ffa9098f6ff5bfb6042,40,True
s63297ab3758e37c1a55e011000feedfc,40,True
s211c313b7c623e7a9f8fe3a3b7dd1766,40,True
sc255997dae19340881818d32482f0909,40,True
seb894a6e5bb4385181c53977ec13917e,40,True
sfd7eb6c3dcdd39618edd4665d861a198,40,True
sbbccbb81167c3a3380985b0dcfcc2932,40,True
s2c5c367c972e34a18ae236824b9f6b95,40,True
s9b073c44e12b32df8270cd753a8e247b,40,True
s0c20d074b2dc3a5e95c59be181549ce8,40,True
s91cf98749b3539ff88c0f363435f41db,40,True
s8319ac4548833a5684e5d14b0ac6de51,40,True
sbbebd5e239e639a695b989bbd6e70bc7,40,True
s1d79c75eb231396c92502c375d1ffd27,40,True
s1a76717ff8e635ca9083a908c828be23,40,True
s5453f471ffb33599827c1904457fe7f8,40,True
s795dda831054336aabe0a9b855100e96,40,True
s23ac435ffbc43690a88ef5c2646e7646,40,True
sbb83c4146b013d1d820bbdcbd82f8444,40,True
s3ce8a010176d358fa03471cd80e044c7,40,True
s9d706962b638311599b6597454724ff0,40,True
s1a5f4fbc6c883f1c9fa1b40e5c4f6406,40,True
sa0d4401b3d3330e8a63197c5361a45c9,40,True
sad187470e2523dbfa8478eb0cd88ba9e,40,True
s84691088e0f03dff90e4cd3f7c92dbcb,40,True
sea255c7d49c33ae686bec1b1ce12eb8d,40,True
sd2393c5b6b1a39f78a6fda912152375e,40,True
sd59c35e155a03c80ad53e45f9bf672bc,40,True
s7d97a590568d3265acca236a7baae8c2,40,True
sdf46cb32f61739a1bac03be4285d0aa2,40,True
s965c52644725303ea76aa81f5bdb0686,40,True
s8dbe04efc51f3eb4a3ae64a0b51d452d,40,True
s4c4d2456837a381c86b2cdf20cf471d5,40,True
sfb4c931c8d273181b276a88b95d50276,40,True
s50826c28214f3f90ba19722638d5b748,40,True
scf4c2b2334603851872894d2c657a759,40,True
sb6b7e11571823516b74c0f4671de6712,40,True
sd2f0eeab9be13b68a6c5188435725f22,40,True
s1afc11d6255736f881637d895bb96594,40,True
s194809ce7e00350ebf3a6d4c10734195,40,True
s8bbbceff73d63319a2e0ec9a0eba1504,40,True
sd772300161ad39c1a6fe4cec49af34b8,40,True
sce01d6aa42fc32609f51c610822296e7,40,True
s757a64320761346186a705c347df82d0,40,True
s2f814a6447e23a259333c02e35002b3e,40,True
sca46d7420c0237e8835aadd91799823e,40,True
sfa945a573be430fd9ae014cdb463c948,40,True
s7f64b636a0ec305bbb8c65c192aacaee,40,True
sd557949d2b6c35cba506e27f5b5f5911,40,True
s24e25eb0d8fe395ba7dbbf306ad8838d,40,True
sa3e78edc12b6384f97b0521c60977226,40,True
s7132a8e424ca3d3cbdc04d8d09052286,40,True
s21799d1ea3413e3da289173e9d86e548,40,True
s1c406fc5bcd036de9f6d468838126a3f,40,True
s531cbc408b5130d99242c26c3ad63c59,40,True
s021eac99f1643cc4818c1a21835c5652,40,True
sbbdefe94cd3234e699e168ac341d3b61,40,True
s98bfdcfdc29237c688c53334340ed5ce,40,True
sa2e34cc792e435beabe6034a53ed58de,40,True
sdceaea95ba853e8d8784498b72cf2f8c,40,True
s169c2d7f50953354b2a86dc8b930a0a4,40,True
s9ff5a97d144b3c5ea4a9340cdb46586f,40,True
sffede39236503315a412fa021158b422,40,True
s863cdd7af4dc3ccdb3d666742d303318,40,True
sd19445f92e193511b2cc820652d481bd,40,True
s787f53ab5e173f4f879ec1dd94e4cbbf,40,True
s80991c5d3ea23f89a2cf8c67a59ae129,40,True
s0bbebdd1b1fa364a8fc0e2215192e106,40,True
s60ef8509476538c1a7a3141e19642f19,40,True
s12c3b72fe01135a4836ea421e1cdb39a,40,True
s59bae00bb0f038669414f488858e7e2b,40,True
s3da667cfa8ca39bdbe3e9451a20e57de,40,True
sec807f67938b3e909e47477ec09e56b6,40,True
s5c9e3c978fc53d2ca9b9ce1418b52cc5,40,True
s734981a9be703fa6b08275dae1bb47c5,40,True
s923213a127413bd396aa532588fe48f8,40,True
sb95c7bb457b73612abec09ea4e5965af,40,True
scd807aaa9998309cb5bd87fcac27e800,40,True
s12fa10721ea431db8de466a457abf2c0,40,True
