user_name,points,anomaly_flag
s687d546319ef31b09f044c02929c93f7,0,False
sfe1e6ed58b7a3d2bb5c76db5ba655e01,10,False
sa87bf03b2f02332e841a1b5ffa34373b,10,False
sb9bfbf5d5c6336c080634679c33421a2,10,False
sab242b2fee96378ea073b6ee943cdab9,0,False
s9f9c84bbc3d8392f90c53a436063d630,0,False
s6366e6cd8a0437a59a08dd0a9cf69cdf,10,False
s109f34d0a1943634ac025d45fe6d2adb,10,False
sf73512f53a1835718a7a194a98386e2d,30,False
s6b2185c68cbe3fa3a0df8312cd749f50,0,False
s15aa7755155b36a291558b216aac2f94,10,False
s5c7c88f4051d37e588f7b7eb2e61db60,30,False
s2f3fe4c35168386abaca403e0225362e,0,False
sba71bb5cf9ea38b398373dcf209cbc92,0,False
sb92433e5a0d2326294393d9c01c3be6f,0,False
s8ee9f383147e332e9b4a4e9247b42c45,0,False
sa6b0ce07953e37388e05ca5c2ab9bcd8,10,False
s1b6a50d070823153b1115182f4f13d7f,0,False
s7867460c5aac3ac2819f7b9e0606c777,0,False
sdec285d5a879341caa97444d53107cc7,20,False
s511934991692314ea949fe2cec0e0582,40,True
s5c0dc31a9ffc30f5910cac3597499541,25,False
sf5583279dd24371abefd7eae1935e34b,20,False
s7dddef1eb34c38209a19466a1b18b07b,10,False
sac521520a30a3b8d86faacb0082bb52c,10,False
sd5b7204e28ca3108bd3a7263ddbf9825,0,False
s2e3be2d900b33404ad88d1329f578614,10,False
sf57c6e79534639b29137a9995498a938,10,False
sab3a50ae43ef3cd6ba94ca926016fffa,0,False
s2375c4124b3d3145b53ab0b91019da2d,10,False
sfe2af78df3fe3f4c8ace62e491faf07d,25,False
s79de4201c0033ad2afa7f2f0d5d51100,80,True
scc0c6e839f0031b6bd8755919cb0c876,0,False
saecaeeb1daec300192c2f62a78eb65a8,40,True
sef5ddb35704a3fb5b9b628719a5724af,0,False
s5f2e0bcd3f9b3305bfc7c0a550acd84c,0,False
s9fbea7ba577e3e8ea17a8985a1c7a67b,10,False
s847eac0db0cb37e58657d08b9be46436,10,False
s3924f21410e531549429ff8754107b5a,10,False
sc256f02893f53e369420d220c09c292b,10,False
sa17f89001ba833bc8da33e3c706345aa,70,True
s9c72ff9b9ce834ffaba6afe2faa2de67,0,False
s8ca13c0d3897366d9fc2aec0bb2e4def,40,True
sd8f935f2bcbd321cbd358b033054fbd7,10,False
sddfb72c66ac238ec846edfaf040fb1de,20,False
s79a0fd2ff3f138d9845162edc5a8f9cb,30,False
se7c3f62462d23a83b6691f3e7f697637,10,False
s5bcc4ef73c6b39f695655828620e9b92,10,False
sb6c4da5be48d305a934dc537c3af570e,0,False
s8f39cd8420bb3affa9e7f33f4ae30b69,0,False
s0ce815cff6cb38b4a36307c49fdff27a,10,False
se2bc2b0c4f353be79ff97108a28d7add,25,False
sa74109be01aa3d308eb8b403271579bc,30,False
s304aac48f0ce3547916ca791e9b54307,0,False
s85f6f007918533c4ab2c850dba993706,70,True
s7b272ff3994f369cbb99b7060bdfc3bd,10,False
s656761e7d79f3ea08f547f5344ac24bd,0,False
sdfdf7921de673d7a9a88db70ac95037c,20,False
sc9f78f76e7d432da82a135b7e3b7dd94,10,False
se26166ad2ef93d05ad6b9c71183acc76,10,False
sa04b3bbff95f3a63900c2729646b4431,10,False
s68479c7a5f243116b6ca041d34d070f8,20,False
sba101501410435a7b447a448e59aa62c,10,False
seb25cae10c773325ba98d94c6ed492f5,0,False
sf0275bed6b753e4eac603de60a8570a2,10,False
sa8c4b7b6685b3481934a54a7b51b5172,10,False
s00c686c8b6a9328c950ea79f443308ce,0,False
sb7e3bfb564c53ef19034e0db80455f2e,10,False
s3abdc3b4ecb13c66accf87db9db15192,0,False
s9f078aa1f7523932b83e781bb891df6d,0,False
s85d2ce6965c233aca5d8bec0a32f11c6,0,False
sf34de05bea38349f9428628e43642f9a,25,False
s4749e961dc24393dafba8df679c0c082,20,False
sf7b2206bf425384c813b2da86e7bf573,10,False
s8d0ae4bb7ede301ab963bd96dd440060,10,False
s20bdb81304e336b681d870a2bdb286a2,10,False
sc889b2c16e173eb58bfedca882fba7e2,30,False
sf0e1058ebeb13ad489cb69503467f554,20,False
se30009c26bc7341a8fcaf4e9832aeec3,0,False
s84b9cf9d9ba832fdb7fa932103eb74ad,10,False
s480f628e38853db6b804baeea7f941bd,25,False
sde6d8a55184c3c089707178643335994,20,False
s2cc36953295b30deb91a3414ab18ce0b,0,False
s92a526d99fec38c9aad965e77e8c1013,0,False
s6fd793cdc24b3ef9bdd588e1f0d7cf94,0,False
sd2665895de8835809a1d7d0ff8873a4d,10,False
sc2f6062307f3341d940d5ab82b84016a,0,False
sd99ab81d3bc9351cac72f397d6bae7cf,10,False
s9a3f5a2d801737638d054b4a8726c2a7,30,False
sf4f3991a6d2833e8907238cee0d9b235,20,False
sed2cb9285b1c37fbaa1823040abb73c6,10,False
s071e033df3dc3c28a40a60d69bbaf380,50,True
s391780d772be30ffaa27895404dd10b7,10,False
seeae00df176f321f85ddbe68053c6d73,40,True
see4bbba4cfb5326a83eb8aa62842476e,30,False
s4f957e4670573c688d5859934ee7a475,20,False
s86e5a0e861263caca4593bf526146bc0,10,False
s49e6ed035a8d3a24b2af29102b5a7d7a,10,False
sc0dacc5f3d993eb48787c9c987dba84d,0,False
s8c401436a7293172b07558c7db7091bf,25,False
secccf48d07fa3976a5def55b6928b249,45,True
s806ca01c1da032cab010f5753b4afc6b,0,False
sea9eabd01e34301eb161cd7a104271af,10,False
s2938aef8dd973c8d97bafec9bb78a8ba,10,False
scfb7c50ca3313c37806c2c9e31ac4ff6,10,False
s68d4495a2e703a0ba17c67cb10b3f58b,0,False
s830e86b441f53e4998387ddc7bfa01e6,10,False
s5d4578148f753a97a34ef714eba34df2,10,False
s4424e6e4bf263ebf98327d9c2ca94e7a,0,False
s4ad2ae7735813f1195c6e85a9c67e579,40,True
s012c3b754db4323689b6373664f1f6dd,0,False
s986a9a4977583289b83cf8b67a514958,30,False
se2224b42bc873db98faf414fdd557901,10,False
sac2704b7cddb3ebab3c7186880c6dfb2,10,False
s14c044ca238b336da12c3ce03fcae840,40,True
s3f7998a947bc39c98df3147f2c1fc91d,0,False
sb97aa2cc1d5331eaadc010b445864f5b,0,False
s361c8632aa9e3803ba853c48a74c9bc7,10,False
s12b39745558f30359b846c0b30900bb4,10,False
s8fa57dcb4ff73041940aef5236033d1f,40,True
s932dbe0fb1c63037aedd37c1f55edd2a,25,False
s91081bbc0b0238028b6736f9cebe157d,20,False
s731fc0500cb63342a824c521b2f3310b,0,False
s6a573a5707f73c7c8ba8f43c9df7697e,10,False
sa9cf2050f3773222a4fe8bd24dcfa9f5,60,True
s0f5436c69ed2338bb5fa41f900c62b0d,10,False
s7ac5bbf6fc1436c2a6f2d6b75014a9e0,10,False
s9f874a98fc0637b6a1b3725d726484b6,0,False
sdb6394d319c639c49f125cca3f5c104b,0,False
s44b1a59b93fb3b1ea6bf30e06e6729ce,0,False
sacf23edd4bda3d56b386819078f497c2,10,False
sbd7a805546dc32f390800e756b9e340c,0,False
s75d32b668340365abb060c60d2b5abc2,40,True
sa283390d9eb633cfa497450f4cc39240,10,False
scf501962953c30f18b92decd63723740,0,False
sef5dffccd8583f64bd7b53594ee90061,10,False
sb12e555fdbff35ba8fe29102fb8762f9,10,False
s54ecd19c6d133a8a9e78b2657bf04f39,10,False
s5a2e296c60e434bda7ccf9a5271e63db,10,False
sdf79f720870335a885c8f46c1d23a4f3,10,False
s08704260ff673ee2bff459f6ad68043e,0,False
s57b377c3de423c9b8d46e380ddbbf581,10,False
sec990df77c533dbba07a6f008e6251d3,20,False
s0418f4eaab423f249aae9f753f98bd43,10,False
sd68a31bd66dc3350b64cf44332a7b68e,10,False
sae2b44b7b39a3590ab3db7615fe2ec19,0,False
s56b3ec7ed94931e8a55599026422e5bc,0,False
s61d16fbc33373dfc9246b25d3c492c2d,30,False
s50484f2a4fe43a92960d791db8a80e84,10,False
sa4450320281037d0a7cb30480ed5034e,10,False
s2c1fc4b1b3fa3af5981855462e3fbf4a,10,False
se53b4d45d1f43cfabb8195b11b7485df,0,False
sbdca68a8f82b3482af85d0a7a99f9fae,0,False
s7bedcbe63b283593a6a62bd384fc357e,10,False
s5e9c1f1359fd3a6a8cf441c83e17a787,10,False
s2dec53350cd93070ab0d5191cef184cc,30,False
se7d4568bcb39379d8edf81e5f0e0430e,10,False
sfef2d316adb233e3b69ff36c6874acfd,10,False
s5262e8ee91fb3465936c1ae33ca541ce,0,False
s4d53126271fa3e5f9237dad9898d2994,10,False
s818d6be3f00a39e7902b0a0cc652be0d,0,False
s3e451362d1a434799fb0ab33c0c643fb,90,True
s1fccc8f715423b46b640cd66ac201a58,10,False
s0fb56eee82443e889b42024f65b1e238,10,False
se2f5bcf9a9b4389897b0e319f7c452ba,30,False
s2d64da87a10733f0b40f9399bbefa521,0,False
sb384d7a41ad0376683b5a49ad329fbb4,10,False
s2b4795850c193173b37f6ac37f009e38,0,False
s8685f3e6b0e9384086800094f52ffa53,10,False
s860a5fa08cf43b34b0538aafd13bdcb5,10,False
s474343c794703dbfa13a910a315c96b3,0,False
sdb0ee91e097f3d868eab5578124925cc,0,False
sbf412a41cef931ffbc42cea9f81ba991,10,False
s9cb31bfacb7a3c48b87c94c038ccb5a3,10,False
s7f5f62e0a6ef3bed8963d669209dd871,10,False
se228c81071ec35c39cb4db42eae71d45,10,False
s98a6826a237839729a0a003385390149,10,False
sbc9e60b2073731fabf12e21cf849e14d,10,False
s043afbf81c8f39efa94768b74ffa3441,0,False
s3b0049d2e317323280075e1ef702667f,0,False
s673dd46c81fc35778c0d1199a55b7079,10,False
s6d44893554623f499b0d4573de46fcb1,0,False
s83a694daa93434fab5f778a6466bc5b7,20,False
s04bd2d9bebdb3d9d8cd9f89ac7d2ed6a,10,False
s856c1abd4b4f3c87a0f9ea733f349d20,10,False
sea9d00162d47379ab18d1c314a99a3c7,10,False
s6d9a1bbdd2763bb9aab66f1634576732,10,False
s35d276fb0a7533e09a55be9c21d0f490,0,False
s6aafb9655ff73bd5a0367ae9f8f2b9ea,10,False
sf982d4ef5b643dae9087db769adabb22,10,False
s467d3d38b0323195b74a0030de98037d,10,False
s58e40e4715dc3b8289b7b858a0359d2d,0,False
sbe0c107e339f372cb542ea7f3c1ad3e5,10,False
s627bc7dc8eba33d4b1f54d02cfb5b7cb,10,False
s97a9c7f830a93aa5a17c531891d8a0ba,10,False
sb840c7e3fcca3198bf53de01d6d7b42f,10,False
se49e650afd79350884e2db25a91525b2,10,False
s68e4662673f8376bb526ac4c5bebfa4d,10,False
sb54c234b4f793bbeaff4c58897a66ea4,10,False
s7caddfaea77d33c9b4aba6d26f2fdeb0,10,False
s2921256516a5349bbadbc8cab4db70a6,0,False
s7450d36081a732ca9ed72efcf0ac8409,0,False
sed9030cb91263e90b0b62b9bbec30c65,30,False
s1a0cae36f4de307c81f9588d7e2d24a9,10,False
sd54a7755557f38a3a508b3afbbd1576a,10,False
s26f21907f6d6356d80f65dfd5e196ac2,0,False
s1239a4a3ee7a36ed94a24ca5fa981edb,0,False
s0cde1addd8c734ca888d31bd6e422201,10,False
s09be228763403dd0bd99e0ad560381d4,0,False
s31a87a48e652343c929e61b1ca23dcac,10,False
s80673af7d2563e07be9f6efe612fbd48,10,False
s70274e2df5f136c4983b37984c732175,85,True
s0731faba593c3b97b16ada254a4eb80e,10,False
sf721230f19e13ef298c1bf229f03781e,10,False
s26fdb447a5483450aefaa12ae1326bbe,10,False
s9c0cfe263f9730b8bc97778c7278c60b,0,False
s9a0a3eb75b763c13a3f92bd04d61ff34,0,False
sad4e4bdb73a138bfb5b22373e9bea9c0,10,False
saa08a71a05143f829f632cf8afb89073,10,False
s03cd44ae8f5e3b48839d192ea8671353,10,False
sc7d15730ff5b31c9b4675ce589563bfc,60,True
sed74d71ca1d43dca92d31a34e563cf90,10,False
s03b6caaca6f0345a96f8c07c291e6096,0,False
s7b3b78c6794d3bf3b87c8ade0b65b31d,0,False
s5fb60ccae055398d9e7f5bb7a2a2369c,10,False
s3bbb1e5d4f81309eb2d004993a2782d1,60,True
s6e0bdc9d5e653ff58161f4eed7bd788b,10,False
s5db938ce6a2a3bbe9144c5ac8889638d,10,False
sd117e20ba85a38e19a62d6095d780fb2,40,True
sdf9184ae28e93066847af4f86e6efece,10,False
s55b720c70a453932b0b722040550ae15,10,False
s2c693b6dc8c53377bbf866fd63d0bb7e,10,False
s63efead2d5b739369443fd05ef349686,10,False
s8171f93cf17e3f3daadea92c500f5abb,0,False
saf296a39b4e13ce1995c73e0a441bfd9,10,False
s9d964145ffa23b36b29b3ac811c4e936,25,False
sc89ea9f6238b340ab5b9de0babb1bf99,10,False
s0d6fdb8594ba331aa6df4345d6675c79,10,False
s414ad7df1ab333a48ae48ee22a8ff3b0,0,False
sc932a34fd33130f9ac7507902efb6a41,10,False
s0b28d5f833bc389eb3610a752d46816e,10,False
