userNo,registerDays,completedBuyOrderNum,completedSellOrderNum,counterpartyCount,completedBuyOrderNumOfLatest30day
s49e6ed035a8d3a24b2af29102b5a7d7a,454,3,0,3,3
s4f957e4670573c688d5859934ee7a475,482,55,5,27,20
see4bbba4cfb5326a83eb8aa62842476e,199,246,49,204,158
s86e5a0e861263caca4593bf526146bc0,470,87,1,67,7
sc0dacc5f3d993eb48787c9c987dba84d,264,18,22,34,18
secccf48d07fa3976a5def55b6928b249,2014,77,0,26,59
scfb7c50ca3313c37806c2c9e31ac4ff6,509,57,2,39,17
s2938aef8dd973c8d97bafec9bb78a8ba,13,0,0,0,0
sea9eabd01e34301eb161cd7a104271af,1934,131,46,85,8
s806ca01c1da032cab010f5753b4afc6b,1412,47,19,37,3
s4424e6e4bf263ebf98327d9c2ca94e7a,1632,52,27,68,1
s68d4495a2e703a0ba17c67cb10b3f58b,1753,194,27,151,28
s5d4578148f753a97a34ef714eba34df2,996,3,0,3,1
s830e86b441f53e4998387ddc7bfa01e6,523,0,0,0,0
s8c401436a7293172b07558c7db7091bf,212,22,0,8,8
s012c3b754db4323689b6373664f1f6dd,1712,36,13,43,20
s986a9a4977583289b83cf8b67a514958,817,18,0,6,16
s14c044ca238b336da12c3ce03fcae840,464,46,0,6,8
s4ad2ae7735813f1195c6e85a9c67e579,135,86,7,39,70
sb97aa2cc1d5331eaadc010b445864f5b,487,18,529,329,6
s3f7998a947bc39c98df3147f2c1fc91d,402,3,2,5,3
sac2704b7cddb3ebab3c7186880c6dfb2,336,9,0,9,1
s12b39745558f30359b846c0b30900bb4,107,16,0,11,6
s8fa57dcb4ff73041940aef5236033d1f,397,123,0,27,32
se2224b42bc873db98faf414fdd557901,1689,3,0,3,3
s361c8632aa9e3803ba853c48a74c9bc7,730,6,0,5,5
s91081bbc0b0238028b6736f9cebe157d,69,126,37,51,34
s932dbe0fb1c63037aedd37c1f55edd2a,231,68,0,26,17
s731fc0500cb63342a824c521b2f3310b,875,137,21,142,9
s6a573a5707f73c7c8ba8f43c9df7697e,13,1,0,1,1
sa9cf2050f3773222a4fe8bd24dcfa9f5,61,175,36,99,153
s7ac5bbf6fc1436c2a6f2d6b75014a9e0,2933,55,1,32,27
s0f5436c69ed2338bb5fa41f900c62b0d,1659,13,0,9,2
s9f874a98fc0637b6a1b3725d726484b6,338,68,18,60,31
sdb6394d319c639c49f125cca3f5c104b,22,19,8,21,19
sbd7a805546dc32f390800e756b9e340c,709,300,94,207,24
s44b1a59b93fb3b1ea6bf30e06e6729ce,977,14,68,67,4
sacf23edd4bda3d56b386819078f497c2,1663,364,25,222,9
scf501962953c30f18b92decd63723740,581,11,4,15,2
s75d32b668340365abb060c60d2b5abc2,81,54,0,9,51
sa283390d9eb633cfa497450f4cc39240,14,1,0,1,1
sef5dffccd8583f64bd7b53594ee90061,1466,8,0,8,1
sb12e555fdbff35ba8fe29102fb8762f9,395,18,0,18,2
s54ecd19c6d133a8a9e78b2657bf04f39,1659,1,0,1,1
sdf79f720870335a885c8f46c1d23a4f3,32,4,0,2,4
s5a2e296c60e434bda7ccf9a5271e63db,58,2,0,2,1
s57b377c3de423c9b8d46e380ddbbf581,16,7,0,5,7
s08704260ff673ee2bff459f6ad68043e,14,6,2,7,6
sec990df77c533dbba07a6f008e6251d3,53,50,0,25,45
sd68a31bd66dc3350b64cf44332a7b68e,147,4,0,4,3
sae2b44b7b39a3590ab3db7615fe2ec19,366,62,19,40,4
s56b3ec7ed94931e8a55599026422e5bc,1005,31,25,46,1
s61d16fbc33373dfc9246b25d3c492c2d,50,72,0,63,60
s50484f2a4fe43a92960d791db8a80e84,16,3,0,2,3
sa4450320281037d0a7cb30480ed5034e,69,2,0,2,2
s0418f4eaab423f249aae9f753f98bd43,414,39,6,21,9
se53b4d45d1f43cfabb8195b11b7485df,100,5,2,7,2
s2c1fc4b1b3fa3af5981855462e3fbf4a,325,57,4,33,9
s7bedcbe63b283593a6a62bd384fc357e,34,2,0,1,2
sbdca68a8f82b3482af85d0a7a99f9fae,2932,40,16,43,14
se7d4568bcb39379d8edf81e5f0e0430e,619,60,2,50,21
s2dec53350cd93070ab0d5191cef184cc,1712,126,14,91,66
s5e9c1f1359fd3a6a8cf441c83e17a787,851,24,2,24,1
sfef2d316adb233e3b69ff36c6874acfd,37,3,0,3,2
s818d6be3f00a39e7902b0a0cc652be0d,1187,10,46,45,3
s5262e8ee91fb3465936c1ae33ca541ce,971,43,23,58,2
s4d53126271fa3e5f9237dad9898d2994,1156,120,0,62,32
s1fccc8f715423b46b640cd66ac201a58,36,3,0,2,3
s3e451362d1a434799fb0ab33c0c643fb,42,210,0,66,198
s0fb56eee82443e889b42024f65b1e238,118,7,0,4,5
se2f5bcf9a9b4389897b0e319f7c452ba,483,34,2,9,15
s2d64da87a10733f0b40f9399bbefa521,617,32,6,19,25
sb384d7a41ad0376683b5a49ad329fbb4,71,22,2,18,8
s860a5fa08cf43b34b0538aafd13bdcb5,14,1,0,1,1
s2b4795850c193173b37f6ac37f009e38,1257,15,10,21,4
s8685f3e6b0e9384086800094f52ffa53,22,4,1,5,4
sbf412a41cef931ffbc42cea9f81ba991,13,0,0,0,0
s9cb31bfacb7a3c48b87c94c038ccb5a3,1669,408,14,259,40
s474343c794703dbfa13a910a315c96b3,1385,20,3,22,2
sdb0ee91e097f3d868eab5578124925cc,1722,125,160,249,8
se228c81071ec35c39cb4db42eae71d45,491,1,0,1,1
s3b0049d2e317323280075e1ef702667f,994,40,22,52,26
s98a6826a237839729a0a003385390149,521,8,0,7,2
sbc9e60b2073731fabf12e21cf849e14d,319,5,0,5,2
s7f5f62e0a6ef3bed8963d669209dd871,519,0,0,0,0
s043afbf81c8f39efa94768b74ffa3441,519,138,35,134,15
s673dd46c81fc35778c0d1199a55b7079,1227,14,1,12,11
s6d44893554623f499b0d4573de46fcb1,1990,107,163,143,15
s83a694daa93434fab5f778a6466bc5b7,289,53,0,27,14
s04bd2d9bebdb3d9d8cd9f89ac7d2ed6a,48,3,0,3,2
s6d9a1bbdd2763bb9aab66f1634576732,858,92,0,52,25
s856c1abd4b4f3c87a0f9ea733f349d20,14,4,0,3,4
sea9d00162d47379ab18d1c314a99a3c7,26,0,0,0,0
s35d276fb0a7533e09a55be9c21d0f490,1032,0,1,1,0
s6aafb9655ff73bd5a0367ae9f8f2b9ea,24,6,0,4,6
s58e40e4715dc3b8289b7b858a0359d2d,1354,38,13,44,11
sf982d4ef5b643dae9087db769adabb22,774,274,40,134,58
sbe0c107e339f372cb542ea7f3c1ad3e5,17,8,0,7,8
s467d3d38b0323195b74a0030de98037d,1580,15,0,10,2
s627bc7dc8eba33d4b1f54d02cfb5b7cb,243,4,0,4,1
sb840c7e3fcca3198bf53de01d6d7b42f,42,6,0,4,5
s97a9c7f830a93aa5a17c531891d8a0ba,30,2,0,2,2
se49e650afd79350884e2db25a91525b2,1107,9,0,7,2
s68e4662673f8376bb526ac4c5bebfa4d,292,2,0,2,2
s7caddfaea77d33c9b4aba6d26f2fdeb0,421,398,1,206,39
sb54c234b4f793bbeaff4c58897a66ea4,1711,64,2,36,7
s2921256516a5349bbadbc8cab4db70a6,747,52,49,70,14
s7450d36081a732ca9ed72efcf0ac8409,66,24,7,17,5
sed9030cb91263e90b0b62b9bbec30c65,57,17,0,5,10
s1a0cae36f4de307c81f9588d7e2d24a9,203,110,5,81,29
s26f21907f6d6356d80f65dfd5e196ac2,284,99,50,104,7
s1239a4a3ee7a36ed94a24ca5fa981edb,13,1,1,2,1
sd54a7755557f38a3a508b3afbbd1576a,1120,18,1,18,16
s09be228763403dd0bd99e0ad560381d4,39,11,12,17,10
s31a87a48e652343c929e61b1ca23dcac,1093,43,4,40,4
s0cde1addd8c734ca888d31bd6e422201,426,88,0,68,24
s80673af7d2563e07be9f6efe612fbd48,18,2,0,2,2
s0731faba593c3b97b16ada254a4eb80e,13,0,0,0,0
s70274e2df5f136c4983b37984c732175,49,193,0,75,137
sf721230f19e13ef298c1bf229f03781e,13,1,0,1,1
s26fdb447a5483450aefaa12ae1326bbe,13,1,0,1,1
s9c0cfe263f9730b8bc97778c7278c60b,235,139,69,122,52
s9a0a3eb75b763c13a3f92bd04d61ff34,38,28,10,28,20
sad4e4bdb73a138bfb5b22373e9bea9c0,47,10,0,7,9
saa08a71a05143f829f632cf8afb89073,1176,168,6,113,8
s03cd44ae8f5e3b48839d192ea8671353,514,21,0,18,4
sed74d71ca1d43dca92d31a34e563cf90,16,2,0,1,2
sc7d15730ff5b31c9b4675ce589563bfc,202,126,0,30,76
s03b6caaca6f0345a96f8c07c291e6096,41,14,4,14,8
s7b3b78c6794d3bf3b87c8ade0b65b31d,13,18,2,13,18
s3bbb1e5d4f81309eb2d004993a2782d1,22,73,9,40,73
s5fb60ccae055398d9e7f5bb7a2a2369c,421,0,0,0,0
s6e0bdc9d5e653ff58161f4eed7bd788b,14,1,0,1,1
sdf9184ae28e93066847af4f86e6efece,34,3,0,2,3
s5db938ce6a2a3bbe9144c5ac8889638d,16,3,0,2,3
sd117e20ba85a38e19a62d6095d780fb2,1485,157,4,33,23
s55b720c70a453932b0b722040550ae15,39,0,0,0,0
s2c693b6dc8c53377bbf866fd63d0bb7e,14,16,0,15,16
s63efead2d5b739369443fd05ef349686,43,2,0,2,0
s8171f93cf17e3f3daadea92c500f5abb,46,2,1,3,2
saf296a39b4e13ce1995c73e0a441bfd9,19,19,1,14,19
sc89ea9f6238b340ab5b9de0babb1bf99,14,4,0,4,4
s0d6fdb8594ba331aa6df4345d6675c79,54,5,0,5,4
sc932a34fd33130f9ac7507902efb6a41,13,1,0,1,1
s414ad7df1ab333a48ae48ee22a8ff3b0,505,7,10,10,3
s9d964145ffa23b36b29b3ac811c4e936,503,173,13,74,19
s0b28d5f833bc389eb3610a752d46816e,44,5,0,5,3
s3d21b1da76163dff87b8d3edfadcc750,23,26,2,21,26
s43a8a15f7e2f309b9d6cf2c00aefab9b,381,10,0,8,3
s1dba187c17b6312a9d5ca872f4ddf47d,13,2,0,2,2
s2aef398e74dc34e3a31fcd65140062ac,380,47,12,43,7
s64eeb142b2fa33d29398884099dd7915,22,6,0,6,6
s5bde4fc6401e3a869785ef0088bb0b2d,13,0,0,0,0
s70def3f3fbfb338aa8cea26570d5df85,42,10,0,9,9
s12f2554268c03e319d1ec9393483a86b,156,2,1,3,2
s23fbdd9745713bb3a817b1d52d428e43,28,0,0,1,0
seefc6fd984923b1ca025895ea560f078,17,0,0,0,0
s79ffcc44b9a4396f96c15a756f7aa3c4,13,0,0,0,0
sd040f424a62c3034852108401c9fb1e6,37,0,0,0,0
s9078514e1a7935139a551c1d45b296f0,13,0,0,0,0
s9c43d7e227073300905d4eab31003a77,13,0,4,4,0
s85ab9aa64d743d13a55277eb18fdaa2c,13,0,0,0,0
